/ http://dndtools.eu/feats/

.Feat; Description
Shaky; You are relatively poor at ranged combat. 
Shape Breath; You can make the area of your breath weapon a cone or a line, as you see fit.
Shape Ectoplasm; You can make equipment out of ectoplasm.
Shape Soulmeld; You gain the ability to shape a single soulmeld.
Shaped Splash; Your expertise with thrown weapons enables you to use splash weapons more effectively.
Shards of Granite; Like the great Stone Dragon, you hammer through your opponents' defenses using raw, brutal strength. Each blow sunders steel, shatters bone, and cleaves through flesh. With each successive attack you make, you hit with greater force.
Share Soulmeld; You can share a soulmeld with an ally with which you have a special bond.
Shared Fury; Your fearsome rage spurs your animal companion to greater heights.
Sharp-Shooting; The deity's skill with ranged weapons lets it score hits others would miss due to an opponent's cover.
Sharp-Shooting; Your skill with ranged weapons lets you score hits others would miss due to an opponent's cover.
Shattering Strike; You can shatter objects with your unarmed strike.
Sherem-Lar Sorcery; You are one of the Sherem-Lar, magically altered in the womb to enhance your potential as a sorcerer.
Sherezem-Lar Sorcery; You are one of the Sherezem-Lar, an elite group within the Sherem-Lar, head and shoulders above the others in power.
Shi`Quos School; You have learned the mobile fighting style of House Shi'Quos.
Shield Charge; You deal extra damage if you use your shield as a weapon when charging.
Shield Dwarf Warder; You are a student of the protective magics of the shield dwarves, learned at great cost during centuries of warfare and wandering.
Shield Expert; You use a shield as an off-hand weapon while retaining its armor bonus.
Shield Maiden's Grace; You can channel energy to grant grace and spiritual calm to your companions.
Shield Proficiency; You are proficient with bucklers, small shields, and large shields.
Shield Slam; You can use your shield to daze your opponent.
Shield Sling; You can hurl your shield as a deadly missile, turning it from a defensive item to a crushing, thrown weapon.
Shield Specialization; You are skilled in using a shield, allowing you to gain greater defensive BENEFITS: from it.
Shield Wall; You are skilled in using shields when in formation with other shield-bearers.
Shield Ward; You use your shield like a wall of steel and wood. When an opponent attempts to draw in close to you, your shield forces him away or ruins his attacks.
Shield of Blades; As a master of the double scimitar, you can weave a web of steel to protect yourself from attack.
Shield of Deneith; You can channel the power of your Deneith dragonmark to defend yourself in battle.
Shield of Siberys; Your dragonmark protects you against the powers of those cursed with aberrant dragonmarks.
Shield of Thought; You wield your spirit as both weapon and shield.
Shielded Axe; You have mastered the style of fighting with a dwarven waraxe and a handaxe while keeping a buckler strapped to your off hand, and you have learned to use this unusual combination of weapons and buckler to protect yourself while wielding both axes effectively.
Shielded Casting; You are skilled at covering yourself with your shield when casting spells in combat.
Shielded Manifesting; You are skilled at covering yourself with your shield when manifesting psionic powers in combat.
Shieldmate; You can protect those near you with your shield.
Shifter Acrobatics; Your heritage makes you agile and light-footed.
Shifter Agility; Your heritage of speed and ferocity has honed your reflexes, allowing you to avoid attacks.
Shifter Defense; By delving into your shifter heritage, you have developed the ability to ignore a little damage from every attack.
Shifter Ferocity; You are a tenacious combatant, continuing to fi ght when others would succumb to pain and injury.
Shifter Ferocity; You are a tenacious combatant, continuing to fight when others would succumb to pain and injury.
Shifter Instincts; Your heritage has given you sharp senses and quick refl exes, and you have learned to trust your equally sharp instincts.
Shifter Instincts; Your heritage has given you sharp senses and quick reflexes, and you have learned to trust your equally sharp instincts.
Shifter Magnetism; Your heritage gives you a strong animal presence.
Shifter Multiattack; You are adept at using your natural attack in conjunction with another weapon.
Shifter Savagery; The bestial fury of your lycanthrope ancestors allows you to deal devastating strikes with your natural weapons.
Shifter Stamina; Yours is a heritage of endurance and tenacity, and you can shrug off bruises and fatigue.
Shifter Stealth; You can call upon your bestial heritage to increase your stealth.
Ship Savvy; Your heritage among the sailors and shipwrights of Zilargo gives you an edge in shipboard combat.
Ship's Mage; You form a potent supernatural bond with a ship. Your spells have a more potent effect when cast aboard this ship. Those spellcasters who possess this feat are greatly favored as ship crew.
Shock Trooper; You are adept at breaking up formations of soldiers when you rush into battle.
Shock Wave; You can strike the ground with your tail so hard it knocks other creatures down.
Shocking Fist; Your slam attack can deal a shock.
Short Haft; You have trained in polearm fighting alongside your comrades in arms, sometimes reaching past them while they shield you, and sometimes shielding them while they attack from behind you.
Shorten Grip; You know how to alter your grip on a reach weapon to use it against nearby opponents.
Shot on the Run; You are highly trained in skirmish ranged weapon tactics.
Shriveling Touch; Choose one physical ability score (Strength, Dexterity, or Constitution). When you touch a living creature or a ghost, you can cause permanent drain to that score.
Shrouded Dance; You can seem to be where you aren't.
Sickening Grasp; You wreak havoc with the inner organs of a target, causing it to grow ill.
Sickening Strike; Your sneak attacks leave enemies reeling in pain
Sidestep Charge; You are skilled at dodging past charging opponents and taking advantage when they miss.
Sidestep; You can move nimbly around the battlefield.
Signature Spell; You are so familiar with a mastered spell that you can convert other prepared spells into that spell.
Silencing Strike; You can infuse your sneak attacks with the magical essence of silence.
Silent Spell; You can cast spells silently.
Silver Blood; You have magically or alchemically imbued your fl esh and blood with silver, making you resistant to lycanthrope attacks.
Silver Dragon Lineage ; You are the descendant of silver dragons and can harness your ancestors' power to paralyze your opponents.
Silver Fang; By following a ritual taught by the Fangshields, your natural attacks are suffused with the power of silver and are fully effective against lycanthropes.
Silver Palm; Your culture is based on haggling and the art of the deal.
Silver Palm; Your culture is based on haggling and the art of the deal. Regions: Amn, Dragon Coast, Great Dale, Impiltur, Moonsea,. Sembia, the Shaar, Thesk, Vilhon Reach, gold dwarf, gray dwarf.
Silver Smite; You wield the power of the Silver Flame to smite evil.
Silver Tongue; Your ancestor, Mirumoto Kaijuko, was the first woman to become daimyo of the Mirumoto family. At the age of 16, she defeated her uncle in a duel to claim leadership of the family.
Silver Tracery; Alchemical silver tracery covers your body, allowing you to overcome the supernatural defenses of certain creatures and protecting against some magical attacks.
Simple Weapon Proficiency; You understand how to use all types of simple weapons in combat (see Table 7-5: Weapons, page 116, for a list of simple weapons).
Single Blade Style; You wield a single weapon well.
Skewer Foe; A ruthless combatant, you like to impale enemies on spears and similar piercing weapons.
Skill Focus; Choose a skill, such as Move Silently. You have a special knack with that skill.
Skill Knowledge; You gain access to new knowledge and abilities.
Skilled Pact Making; Your strong will serves you well when making pacts with vestiges.
Skilled Telekinetic; A creature with this feat becomes so skilled with its telekinesis ability that it can manipulate and use magic items via telekinesis.
Skin of the Construct; You can wear an astral construct as if it were a second skin.
Skinny; You are very slender for your race.
Skyrider; You have trained and served with the hippogriff cavalry that guards the Great Rift.
Slashing Flurry; You swing your weapon with uncanny speed, slicing apart a foe in the blink of an eye.
Slave to Evil; You have pledged your soul to an elder evil. You gain benefits that grow more powerful as your master's sign intensifies.
Slayer of Dragons ; You protect your allies from the ravages they are sure to face while hunting dragons.
Slippery Skin; You can expertly avoid the grasp of your enemies.
Slippery; You are less adept at grappling and wrestling than others of your size and strength, but you are adept at slipping out of another's hold.
Slipping Past; You can slip through a tight space without breaking stride.
Slow (flaw); You move exceptionally slowly. 
Slow (trait); You are slow, but sturdier than average members of your race.
Sly Fortune  ; Your luck helps you find the right place to move to.
Smatterings; You have a talent for acquiring languages -- at least enough of each one to get by.
Smite Fiery Foe; You can smite creatures with thefiresubtype.
Smiting Power; You use your smite ability to augment other combat maneuvers.
Smiting Spell; You can channel the energy of a touch spell into a weapon, causing the spell to discharge when you strike an opponent.
Smooth Talk; You are descended from Doji Taehime, a Crane ambassador to the Scorpion court--a courtier skilled at discovering falsehoods and uncovering plots.
Smooth Talk; Your people are accustomed to dealing with strangers and foreigners without needing to draw weapons to make their point. Regions: Luiren, Silverymoon, Thesk, Waterdeep, gold dwarf, lightfoot halfling.
Smooth Talk; Your people rarely have to draw their weapons to deal with potential adversaries. There are few problems that you can't talk your way out of.
Snake Blood; 
Snake Blood; The taint of the yuan-ti runs in your veins. No outward signs give away your heritage, but you are something more--or less--than entirely human. Regions: Chult, Tashalar, the Vilhon Reach (Hlondeth only).
Snap Kick; You have continued to hone your unarmed combat skills, and you deal more damage with your unarmed strikes.
Snatch Arrows; You are adept at grabbing incoming arrows, as well as crossbow bolts, spears, and other projectile or thrown weapons.
Snatch Trophy; You can quickly and skillfully collect a trophy of your victory over a fallen foe.
Snatch Weapon; You can disarm an opponent, then pluck the weapon from midair.
Snatch and Swallow; You can swallow creatures you have grabbed with your bite attack.
Snatch; The creature can grab opponents much smaller than itself and hold them in its mouth or claw.
Snatch; You can grapple more easily with your claws or bite.
Sneak Attack of Opportunity; Whenever your opponent lets his guard down, you can make a sneak attack.
Snow Tiger Berserker; You have learned how to pounce on your foes, much like your totem spirit.
Snowcasting; You add ice or snow to your spell's components to make them more powerful.
Snowflake Wardance; You have mastered the snowflake wardance, a mystical style of fighting with slashing weapons that allows you to leap and almost seem to float haphazardly across the battlefield like a whirling, razor-edged snowflake.
Snowrunner; You are particularly adept at moving through snow and over ice.
Sociable Personality; You are adroit at avoiding social gaffes.
Social Recovery; You can talk your way out of a problem you talked yourself into.
Solid Visage; Your ghost body appears solid and alive.
Somatic Weaponry; You are adept at performing somatic spell components while your hands are occupied.
Song of the Dead; You can add such a powerful dose of necromantic energy to your mind-affecting spells that they function against undead creatures but are useless against all others.
Song of the Heart; Your bardic music reaches the depths of its listeners' hearts.
Song of the White Raven; The White Raven discipline shows you how to rouse de tion and fervor within your allies'hearts. Such teachings can augment and improve your musical ability.
Soothe the Beast; Echoing the music of creation, your music has power to calm animals.
Soul of Honor; Your ancestor Shinjo Martera, the firstborn son of Shinjo, was the living incarnation of _bushido_ for the Unicorn, utterly without fault or failing.
Soul of Loyalty; Your ancestor, Mirumoto Tokeru, was renowned for his loyalty to his twin brother, Ryudumu.
Soul of Sincerity; You are descended from the famous Scorpion daimyo Bayushi Tangen, author of _Lies_ and _Little Truths_.
Soul of the North; You possess a magical understanding of the nature of cold.
Soulblade Warrior; The spirit of a quori warrior grants you deadly speed and combat prowess with your mind blade.
Soulsight; You can attune your soul to sense living creatures near you. When you use this feat, your eyes glow with a blue luminescence.
Soultouched Spellcasting; By fusing your spells with incarnum, they become more capable of overcoming enemy magic and spell resistance.
Soultouched Spellshaping; By fusing your spells with incarnum, they become more capable of overcoming enemy magic and spell resistance.
Sound of Silence ; You can channel the power of your bardic music to deafen your foes.
Southern Magician; Your magical studies in Mulan lands have taught you spellcasting techniques unknown in the north that blur the line between arcane and divine magic.
Speaking Wild Shape; While in wild shape, you can communicate with animals or elementals of the same kind as your current form.
Spear of Doom; Few can avoid death on your spearpoint when you brace yourself for their attack.
Special Dispensation; You have been given leave to carry even banned armor, weapons, and equipment in a given area.
Specialized; You have a knack for one kind of work or study, but other tasks are harder for you to accomplish.
Spectacular Death Throes; Your body seethes with unchecked power, promising dire consequences to your killer.
Spectral Skirmisher; You have trained extensively in the use of magic that renders you invisible. In combat, you use this experience to vex your opponents and increase your survivability.
Spectral Strike; You can strike incorporeal creatures as if they were solid.
Speed of Thought; The energy of your mind energizes the alacrity of your body.
Speed of Thought; You move faster.
Speedy Ascent; You can produce a burst of speed when climbing.
Spell Drain; You can cast any spell that you drain from a creature's mind.
Spell Focus (Chaos); Your spells with an alignment descriptor are more potent than normal.
Spell Focus (Evil); Your spells with an alignment descriptor are more potent than normal.
Spell Focus (Good); Your spells with an alignment descriptor are more potent than normal.
Spell Focus (Good); Your spells with the good descriptor are more potent than normal due to your relationship with the powers of good.
Spell Focus (Law); Your spells with an alignment descriptor are more potent than normal.
Spell Focus; Choose a school of magic, such as illusion. Your spells of that school are more potent than normal.
Spell Girding; Your spells are particularly hardy, resisting dispel checks more readily than normal.
Spell Hand; You possess a magical understanding of the manipulation of force.
Spell Knowledge; You add two additional arcane spells to your repertoire.
Spell Mastery; You are so intimately familiar with certain spells that you don't need a spellbook to prepare them anymore.
Spell Opportunity; You can cast a touch spell as an attack of opportunity.
Spell Penetration; Your spells are especially potent, breaking through spell resistance more readily than normal.
Spell Power; Your lineage traces back to the young shugenja Kuni Osaku, who single-handedly held off a massive army of oni at the Battle of the Cresting Wave. Her spell summoned a tsunami and made the Seigo no Kamae river impassible for seventy-three days while the Crab built the Kaiu Wall, but its powerful magic cost Osaku her life.
Spell Rehearsal; Casting the same spell several times in a row or at the same target enables you to perfect it.
Spell Reprieve; Your studies of the less restrictive arcane traditions of old allow you to cast one spell from a prohibited school.
Spell Specialization: Energy Missile; You deal more damage with ray or energy missile spells.
Spell Specialization: Ray; You deal more damage with ray or energy missile spells.
Spell Stowaway; Choose a spell-like ability you possess or a spell you can cast. You gain the benefits of this magic whenever it is used near you.
Spell Thematics; Your spells have a distinct visual or auditory effect in their manifestation.
Spell Thematics; Your spells manifest with a distinct theme or appearance.
Spell-Like Ability Focus; Choose one of your spell-like abilities. This attack becomes more potent than normal.
Spell-Linked Familiar; You and your familiar can share spell energy, allowing your familiar to cast a limited number of spells each day.
Spellcaster Support; Your ancestor, Shiba Kaigen, was a samurai who used his knowledge of spellcraft to help defend a mountain pass from a Lion invasion.
Spellcasting Harrier; Spellcasters you threaten find it difficult to cast defensively.
Spellcasting Prodigy; Select a domain of spells you have access to. You can spontaneously convert spells into spells of this domain.
Spellcasting Prodigy; You have an exceptional gift for magic.
Spellfire Wielder; You are one of the rare people who have the innate talent to control raw magic in the form of spellfire.
Spellgifted; You have a gift for casting spells from a certain school. Although your spells from this school are more potent than those of other casters, you are not as effective at casting spells from other schools.
Spellrazor; You have mastered the style of combining a gnome quickrazor with spellcasting.
Spellwise; You were raised in a land where mighty wizards are common. Everyone in your homeland knows something about magic, and you have learned that things are sometimes not as they appear.
Spider Bite; You gain a poisonous bite like that of a spider.
Spider Companion; Instead of an animal, you bond with a monstrous spider
Spiderfriend Magic; Your spells cannot harm your vermin allies.
Spiked Body; Your body is overlaid with hundreds of protruding spikes that can deal great damage to foes.
Spinning Defense; You can spin a pole arm around you, deflecting attacks.
Spinning Halberd; You have mastered the style of fighting with a halberd, and can use all parts of the weapon--blade, spike, hook, or butt--to strike devastating blows.
Spire Walking; Iriaebor is justly known as the City of a Thousand Spires, for fantastically bizarre, many-storied towers rise from all quarters of the city and are tightly packed together. As a result, it is possible to navigate Iriaebor via a network of arches, bridges, stairs, and leapable gulfs far above the city streets. You are well versed in the skill of navigating the skyroads of Iriaebor. REGION: The Western Heartlands.
Spirit Sense; You can see and communicate with the souls of the recently departed.|||While mounted on a Valenar horse, you receive a +1 circumstance bonus on melee attack rolls and melee weapon damage rolls.
Spirit of the Stallion; Your patron ancestor was a legendary cavalry soldier, and her spirit guides you and your mount.
Spirited Charge; You are trained at making a devastating mounted charge.
Spiritual Counter; Your devotion and faith allow you to counter the effects of other spells.
Spiritual Force; Your forceful inner spirit allows you to deal more damage with your mind blade.
Spiritual Force; Your mind blade is an expression of your inner spirit. Your forceful personality allows you to deal more damage with your blade.
Spit Poison; A creature with this feat can spit its poison as a ranged touch attack.
Spit Venom; You can spit venom in the manner of a spitting cobra.
Split Breath; You can split your breath weapon into a pair of weaker effects.
Split Chakra;  One of your chakras becomes capable of holding both a bound soulmeld and a magic item.
Split Psionic Ray; You can affect two targets with a single ray.
Split Ray; You can affect two targets with a single ray.
Split Ray; Your ray spells can affect an additional target.
Spontaneous Casting; You can swap a prepared spell on the fl y.
Spontaneous Domain Access; Select a domain of spells you have access to. You can spontaneously convert spells into spells of this domain.
Spontaneous Domains; You need not prepare your domain spells in advance.
Spontaneous Healer; 
Spontaneous Spell; Select a spell you can cast. You can spontaneously convert spells of that spell's level into that spell.
Spontaneous Summoner; 
Spontaneous Wounder; 
Spot the Weak Point; Your keen eyes allow you to place attacks where they'll do the most good.
Spreading Breath; You can convert your breath weapon into a spread effect.
Spring Attack; You are trained in fast melee attacks and fancy footwork.
Spurn Death's Touch; You can channel divine energy to remove some of the harmful effects of attacks made by undead creatures.
Stable Footing; Because of your training and wariness, you are skilled at keeping your feet in combat and able to move over difficult terrain with ease.
Staggering Blow; You are capable of delivering devastating strikes in melee combat, and when you land a critical blow, opponents seldom recover in time to fend off your attacks.
Staggering Critical; Your critical hits leave your opponents reeling.
Staggering Strike; You are particularly adept at making cruel and demoralizing sneak attacks.
Staggering Strike; You can deliver a wound that hampers an opponent's movement.
Stalwart Defense; You excel at aiding your allies in battle. When an opponent attempts to strike one of them, you make a quick, distracting motion to ruin the foe's efforts.
Stalwart Planar Ally; The allies you summon from a specifi c plane are tougher than normal.
Stamp; You can stamp the ground to crush and disrupt opponents.
Stand Still; You can prevent foes from fleeing or closing.
Starspawn; Your abnormal body and heritage has become more pronounced. You grow membranous wings and are comfortable in extreme elevations.
Steadfast Determination; Your physical durability allows you to shrug off attacks that would cripple a lesser person. Rather than depend on agility or willpower, you use your raw toughness to survive.
Steady Concentration; You are an expert at avoiding distractions and focusing your mind, and you can concentrate clearly even in the most stressful conditions.
Steady Mountaineer; You are so good at climbing cliffs and leaping across crevasses that distractions don't affect you.
Steal And Strike; You are a master of the style of fighting that involves using a rapier and a kukri at the same time. With it, you can rob an opponent of its weapon and strike swiftly when it is vulnerable.
Stealthy; You are particularly good at avoiding notice.
Stealthy; Your people are known for their stealthiness. Regions: Drow elf, half-orc, ghostwise halfling, lightfoot halfling, strongheart halfling.
Steam Magic; You are skilled at casting fiery spells into the water, causing terrible gouts of scalding steam.
Stench of the Dead; The odor of decay hangs heavy on you, causing others to gasp and retch.
Stigmata; You bear the marks of wounds on your body, as sort of a living martyrdom.
Still Mystery; You can cast mysteries without gestures.
Still Spell; You can cast spells without gestures.
Stitched Flesh Familiar; When you are ready and able to acquire a new familiar, you may choose to gain a stitched fl esh familiar.
Stone Breaker; You have mastered the style of fighting with two picks at the same time, allowing you to deal heavy damage to your foes.
Stone Colossus; You can focus a part of your power to increase the toughness of your skin.
Stone Form; You can use wild shape to assume a rocklike form
Stone Power; The principles of the Stone Dragon discipline teach you how to gather and focus your raw, physical strength into an attack.
Stone Rage; Your bond with the earth and tough hide makes it easier for you to shrug off blows while you are raging.
Stone Slide; You have attuned yourself to stone to such an extent that you can merge with it for a short time.
Stone Soul; You were born with a dwarflike, innate sense about rock, stone, and construction.
Stoneback; You have studied the techniques of fi ghting underground, and you can protect yourself from the dangers of multiple attackers whenever you can put your back to a solid wall.
Stoneblood; Your blood is thick like cooling lava, making it difficult for you to die after falling from injuries.
Stoneshaper; You have a deep and abiding tie to earth and stone.
Stonewalker Fist; You are trained in an unarmed fighting style that draws on your ability to pass through minerals as if they were air.
Storm Bolt; The electrical energy contained within your magic rages inside you, begging to be released.
Storm Magic; You gain a boost in spellcasting power during storms.
Storm of Throws; You become a flurry of thrown weapons, targeting all nearby opponents.
Stormguard Warrior; The Stormguard Warrior feat encompasses a number of the more advanced tactics and techniques you would use as a student of the Iron Heart school.
Stormheart; The sea is in your blood. You are no stranger to sea chases and blood on the decks.
Stormrider; Your dragonmark improves your balance and ability to weather the elements.
Storms Riposte; Your dragonmark enables you to make deadly ripostes in melee combat.
Stout; You are heavy for your race.
Strafing Breath; You can sustain your breath weapon when you use it on the wing, covering a larger ground area in its effect.
Street Smart; You have learned how to keep informed, ask questions, and interact with the underworld without raising suspicion. Regions: Amn, Calimshan, Chessenta, Moonsea, Unther.
Street Smart; You know how to keep informed, ask questions, and interact with the underworld without raising suspicions.
Strength Devotion; You can overcome an opponent's normal resistance to damage.
Strength of Conviction; You can channel the fury of your deity against a foe
Strength of Two; As the host of a formless psionic entity, you possess immense willpower.
Strength of Two; Your quori spirit gives you unmatched willpower.
Strength of the Charger; You share the spirit of Utaku Shiko, the founder of the Utaku Battle Maiden tradition.
Strength of the Crab; You claim descent from Hida, the first Crab.
Strong Mind; You are unusually difficult to affect with psionic powers and mind attacks.
Strong Mind; You are unusually hard to affect with psionic powers and mind attacks.
Strong Soul; The souls of your people are hard to separate from their bodies. Regions: Dalelands, Moonshaes, deep gnome, ghostwise halfling, lightfoot halfling, moon elf, rock gnome, strongheart halfling, sun elf, wild elf, wood elf.
Strong Soul; You claim descent from Moto Soro, the simple peasant who earned his place among samurai and founded the Moto family.
Strong Soul; You possess an innate resistance to fell magic and supernatural attack s. The souls o f your p eople a re d iffi cult to separate from their bodies.
Strong Stomach; You have greater resilience to illness and foul odors than most people.
Stunning Fist; You know how to strike opponents in vulnerable areas.
Stunning Master; You have become so proficient with techniques using Stunning Fist that you can use it with monk weapons.
Stygian Archon; You sear the synapses of your mind with a scar of void and emptiness. From now on, psionic powers you manifest that utilize negative energy are more fully tied to the Negative Energy Plane.
Stygian Power; Psionic powers you manifest that utilize negative energy are branded with an imprint of fear.
Subdual Substitution; The deity can modify a spell that uses energy to deal damage to deal subdual damage instead.
Subdual Substitution; You can modify a spell that uses energy to deal damage to deal subdual damage instead.
Subduing Strike; You are adept at striking to deal nonlethal damage even with normal weapons.
Subsonics; Your music can affect even those who do not consciously hear it.
Subtle Sigil; You are able to fade your sigils into invisibility, but still tap their magical energy.
Sudden Ability Focus; One of your special attacks becomes more potent than usual.
Sudden Draw; You can quickly draw a hidden weapon to make a deadly strike.
Sudden Empower; You can cast a spell to greater effect without special preparation.
Sudden Empower; You can cast one spell per day to greater effect without special preparation.
Sudden Energy Affinity; You can modify a spell's energy type once per day without special preparation.
Sudden Enlarge; You may cast one spell per day with a greater range than normal without special preparation.
Sudden Extend; You can cast one spell per day with a longer duration than normal without special preparation.
Sudden Extend; You can make a spell last longer than normal without special preparation.
Sudden Maximize; Once per day you can cast a spell to maximum effect without special preparation.
Sudden Maximize; You can cast a spell to maximum effect without special preparation.
Sudden Quicken; Once per day you can cast a spell with a moment's thought without special preparation.
Sudden Quicken; You can cast a spell with a moment's thought without special preparation.
Sudden Recovery; You can instantly recover your focus, balance, and personal energy after using a martial maneuver.
Sudden Silent; Once per day you can cast a spell silently without special preparation.
Sudden Silent; You can cast a spell silently without special preparation.
Sudden Still; Once per day you can cast a spell without gestures without special preparation.
Sudden Still; You can cast a spell without gestures or special preparation.
Sudden Widen; Once per day you can increase the area of a spell without special preparation.
Sudden Widen; You can increase a spell's area without special preparation.
Sudden Willow Strike; Your monastic training allows great precision with your quarterstaff. You can lash out swiftly and strike foes in vulnerable areas, stunning them. This feat is taught and practiced by members of the Long Arm monastic tradition.
Sugliin Mastery; You are a master at fi ghting with the massive sugliin.
Summon Earth Elemental; Like many experienced deep gnomes, you have developed the ability to summon earth elementals to help you with tasks.
Summon Elemental; You can channel the summoning power you hold to briefly bring forth an elemental servant.
Sun Devotion; Your weapon blazes with the power of the sun.
Sun School; You have learned a number of esoteric martial arts techniques inspired by the sun.
Sun Soul Monk; Your training with this monk order gives you special powers depending on which sect you follow.
Sunder; You are skilled at attacking others' weapons.
Sunken Song; You can project your voice underwater.
Sunlight Eyes; The bright magic within you allows you to see through the darkest shadow.
Superior Expertise; The deity has mastered the art of defense in combat.
Superior Expertise; You have mastered the art of defense in combat.
Superior Initiative; You can react even more quickly than normal in a fight.
Superior Unarmed Strike; Your unarmed strikes have become increasingly deadly, enabling you to strike your foes in their most vulnerable areas.
Supernatural Blow; Choose one favored enemy that is immune to critical hits. You know how to place blows against this opponent for best effect.
Supernatural Crusader; You are adept at fighting supernatural creatures.
Supernatural Instincts; Your uncanny insight enables you to take advantage of the subtle opportunities created when an opponent uses supernatural abilities against you.
Supernatural Opportunist; You are adept at exploiting a creature's momentary distraction while it activates its supernatural abilities.
Supernatural Transformation; You convert a spell-like ability to a supernatural ability.
Suppress Weakness; Your vulnerability to an energy type is reduced.
Sure Hand ; You can perform more amazing displays of legerdemain than normal.
Surefooted; You are used to fi ghting on steep slopes and treacherous surfaces.
Surge of Malevolence; You empower yourself by drawing on the taint within.
Surprising Riposte; Through deft maneuvering, you unravel your opponent's defenses
Surrogate Spellcasting; You use substitute verbal and somatic components when casting spells.
Survivor's Luck ; You can avoid situations that would surely affect others.
Survivor; Your people thrive in a region that others find uninhabitable, and you excel at uncovering the secrets of the wilderness and surviving to tell the tale.
Survivor; Your people thrive in places that others find almost uninhabitable, and you know many of the secrets of the wilderness.
Survivor; Your people thrive in regions that others find uninhabitable, and excel at uncovering the secrets of the wilderness and surviving to tell the tale. Regions: Anauroch, Chondalwood, Chult, Damara, Hordelands, Moonshaes, Narfell, the North, the Shaar, Rashemen, Silverymoon, Vaasa, Vilhon Reach, Western Heartlands, deep gnome, drow elf, lightfoot halfling, ghostwise halfling, shield dwarf, wild elf.
Suspicious; You are naturally suspicious of everyone and everything. While this trait makes you hard to fool, it makes others slightly less likely to agree with you or fi nd you threatening.
Svirfneblin Figment Master; Your time underground has made you acutely aware of even slight differences in sound and vision in caves that have never seen the sun. Accordingly, your illusions are finely tuned and ultra-realistic.
Swamp Stalker; You are adapted to a marshy environment.
Swarm of Arrows; You can fire a veritable storm of arrows at nearby opponents.
Swarm's Embrace; You have a natural affinity for swarms and can stand in the midst of a swarm with few harmful effects.
Swarmfighting; You and allies with this feat can coordinate melee attacks against a single target and are adept at fighting side by side in close quarters.
Sweet Talker; Your social expertise is more pronounced than that of most others.
Swift Ambusher ; You combine your scout training with the stealth of a rogue to open up new methods of ambushing enemies.
Swift Call; You can call your special mount in the blink of an eye.
Swift Concentration; You can maintain your mental focus while attending to another task.
Swift Hunter; You have applied the hit-and-run tactics learned from scouting to your strong hunting abilities.
Swift Tumbler; You can flip, twist, and roll with great speed. You mighr have learned this ability by traversing the city's rooftops and alleys, or simply by moving through the throng day after day.
Swift Wild Shape; You can shift forms in the blink of an eye.
Swift and Silent; The shadows are your friends, and your footfalls are whispers of death.
Swiftness of Orien; You can draw on the power of your Mark of Passage to temporarily enhance your speed or the speed of your mount.
Swiftwing Elite; Your swiftwing shifter trait improves.
Swim like a Fish; You can breathe and swim underwater with grace.
Swim-By Attack; You can attack in the middle of a fast pass by your opponent.
Sword of the Arcane Order; Members of your military order have a special connection with arcane magic.
Symbiont Mastery; You have stronger control over an attached symbiont than regular creatures, and you gain vitality for each symbiont attached to you.
Synad Multitask, Enhanced; As a synad (page 139), your threefold mind grants you an additional opportunity to multitask.
Tactile Trapsmith; You can rely on your rapid reflexes and nimble fingers instead of your intellect when searching a room or when disabling a trap.
Tail Constrict; You can make constriction attacks with your tail.
Tail Rattle; Your tail gains a rattle like that of a rattlesnake.
Tail Sweep Knockdown; Your tail sweep attack knocks opponents prone.
Tainted Fury; You can channel your physical corruption into a state of fury.
Talenta Dinosaur Bond; You have undergone grueling training on dinosaur back and are skilled in the halfling techniques of fighting while mounted.
Talenta Drifter; Your extensive travels on the Talenta Plains give you an advantage while in that region.
Talenta Warrior; You have trained with the ancestral weapons of the Talenta halflings and are particularly adept at striking from the back of a dinosaur mount.
Talented Crafter; You have an extraordinary talent for item creation.
Talented; You can manifest more o-level powers for free.
Talented; You can overchannel powers with less cost to yourself.
Talfirian Song; You can use the power of your bardic music to enhance your Illusion spells.
Tall Mouther Hunter; Because of your cultural hatred for tall mouthers, you have had specific training in how best to fight them.
Tap Mantle; You gain the ability to access the powers in a new mantle.
Tashalatora; You have successfully integrated martial arts with psionic power under the tutelage of Tashalatora masters.
Tattoo Focus; You bear the powerful magic tattoos of a Red Wizard of Thay.
Tattoo Focus; You bear the powerful magical tattoos of a Red Wizard of Thay.
Tattoo Magic; You can create tattoos that store spells.
Telepathic Affinity; The entity you host gives you the ability to better communicate with other creatures.
Telling Blow; When you strike an opponent's vital areas, you draw on your ability to land crippling blows to make the most of your attack.
Temper Ectoplasm; You can make durable equipment out of ectoplasm.
Tempest Breath; You can make your breath weapon strike with the force of a windstorm.
Tempting Fate ; You are very hard to kill.
Tenacious Magic; Choose one of your spells or spell-like abilities. That magic cannot be dispelled, only suppressed.
Tenacious Magic; You can use the Shadow Weave to make your spells harder for Weave users to dispel.
Tenacious Magic; You can use the Shadow Weave to make your spells harder for Weave users to dispel. Any magic-wielding creature without the Shadow Weave Magic feat is considered a Weave user.
Terrifying Rage; While in a rage, you panic your opponents.
Terrifying Strike; Your sneak attacks inspire fear.
The Gentle Way Mastery; You have mastered the martial arts style of &quot;The Gentle Way&quot;--a hard/soft form emphasizing throws and movement.
