/ http://dndtools.eu/spells/

.Spell; School; Verbal; Somatic; Material; Arcane; Divine; XP; Rulebook; Edition
 
Abate Dracorage; Abjuration; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Spawn Screen; Necromancy; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Speak to Allies; Transmutation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Speak to Allies; Transmutation; no; no; no; no; no; no; Savage Species; Supplementals (3.0); 
Speak With Animals; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Speak With Anything; Divination; yes; yes; no; no; no; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Speak With Dead; Necromancy; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Speak With Plants; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Speaking Stones; Transmutation; yes; yes; no; no; no; no; Magic of Eberron; Eberron (3.5); 
Spear of Valarian; Transmutation; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Spectral Dragon; Necromancy; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Spectral Hand; Necromancy; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Spectral Stag; Conjuration; yes; yes; no; no; yes; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Spectral Stag; Conjuration; yes; yes; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Spectral Touch; Necromancy; yes; yes; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Spectral Touch; Necromancy; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Spectral Weapon; Illusion; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Spectral Weapon; Illusion; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Spectral Weapon; Illusion; yes; yes; no; yes; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Speechlink; Divination; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Speechlink; Divination; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Speechlink; Divination; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Speed of the Wind; Transmutation; yes; yes; no; no; no; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Speed Swim; Transmutation; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Spell Engine; Abjuration; yes; yes; yes; no; no; yes; Spell Compendium; Supplementals (3.5); 
Spell Engine; Abjuration; yes; yes; yes; no; no; yes; Magic of Faerûn; Forgotten Realms (3.0); 
Spell Enhancer; Transmutation; yes; no; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Spell Enhancer; Transmutation; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Spell Enhancer; Transmutation; yes; no; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Spell Fangs; Evocation; yes; yes; yes; no; no; no; Anauroch: The Empire of Shade; Forgotten Realms (3.5); 
Spell Flower; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Spell Flower; Transmutation; yes; yes; no; no; no; no; Savage Species; Supplementals (3.0); 
Spell Haven; Transmutation; yes; yes; no; yes; yes; no; Dragonmarked; Eberron (3.5); 
Spell Immunity; Abjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Spell Immunity, Greater; Abjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Spell Immunity, Lesser; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Spell Matrix; Transmutation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Spell Matrix, Greater; Transmutation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Spell Matrix, Lesser; Transmutation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Spell Phylactery; Transmutation; yes; yes; no; no; yes; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Spell Phylactery; Transmutation; yes; yes; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Spell Resistance; Abjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Spell Resistance, Mass; Abjuration; yes; yes; no; no; yes; no; Complete Divine; Supplementals (3.5); 
Spell Resistance, Mass; Abjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Spell Shield; Abjuration; yes; yes; no; no; yes; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Spell Shield; Abjuration; yes; yes; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Spell Snare; Abjuration; no; yes; yes; no; no; no; Magic of Eberron; Eberron (3.5); 
Spell Snare, Greater; Abjuration; no; yes; yes; no; no; no; Magic of Eberron; Eberron (3.5); 
Spell Storing Item; Transmutation; no; yes; no; no; no; yes; Eberron Campaign Setting; Eberron (3.5); 
Spell Theft; Abjuration; yes; yes; no; no; no; no; Complete Scoundrel; Supplementals (3.5); 
Spell Turning; Abjuration; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Spell Vulnerability; Transmutation; yes; yes; no; no; no; no; Planar Handbook; Supplementals (3.5); 
Spell Vulnerability; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Spellcaster's Bane; Divination; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Spellmantle; Abjuration; yes; yes; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Spellmantle; Abjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Spellslayer Arrow; Transmutation; yes; yes; yes; no; no; no; Champions of Ruin; Forgotten Realms (3.5); 
Spellsong; Transmutation; yes; yes; no; no; yes; no; Champions of Valor; Forgotten Realms (3.5); 
Spellsong, Lesser; Transmutation; yes; yes; no; no; yes; no; Champions of Valor; Forgotten Realms (3.5); 
Spellstaff; Transmutation; yes; yes; no; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Sphere of Ultimate Destruction; Conjuration; yes; yes; yes; no; no; no; Unapproachable East; Forgotten Realms (3.5); 
Sphere of Ultimate Destruction; Conjuration; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Sphere of Ultimate Destruction; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Spider Climb; Transmutation; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Spider Curse; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Spider Curse; Transmutation; yes; yes; no; no; yes; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Spider Form; Transmutation; yes; yes; no; no; no; no; Drow of the Underdark; Supplementals (3.5); 
Spider Form, Greater; Transmutation; no; no; no; no; no; no; Drow of the Underdark; Supplementals (3.5); 
Spider Form, Lesser; Transmutation; yes; yes; no; no; no; no; Drow of the Underdark; Supplementals (3.5); 
Spider Hand; Transmutation; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Spider Legs; Transmutation; yes; yes; no; yes; no; no; Book of Vile Darkness; Supplementals (3.0); 
Spider Plague; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Spider Plague; Conjuration; yes; yes; no; no; no; no; Savage Species; Supplementals (3.0); 
Spider Poison; Necromancy; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Spider Shapes; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Spider Shapes; Transmutation; yes; yes; no; no; yes; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Spiderbind; Transmutation; yes; yes; yes; no; no; no; Champions of Valor; Forgotten Realms (3.5); 
Spiderform; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Spiderform; Transmutation; yes; yes; no; no; yes; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Spiderskin; Transmutation; yes; yes; yes; no; yes; no; Underdark; Forgotten Realms (3.5); 
Spiderskin; Transmutation; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Spike Growth; Transmutation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Spike Stones; Transmutation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Spikes; Transmutation; yes; yes; yes; no; no; no; Complete Divine; Supplementals (3.5); 
Spikes; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Spikes; Transmutation; yes; yes; yes; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Spirit Ally; Conjuration; no; no; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Spirit Ally, Greater; Conjuration; no; no; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Spirit Ally, Lesser; Conjuration; yes; yes; no; no; yes; no; Oriental Adventures; Oriental Adventures (3.0); 
Spirit Binding; Conjuration; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Spirit Binding; Conjuration; yes; yes; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Spirit Binding, Greater; Conjuration; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Spirit Binding, Greater; Conjuration; yes; yes; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Spirit Binding, Lesser; Conjuration; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Spirit Binding, Lesser; Conjuration; yes; yes; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Spirit Needle; Transmutation; yes; yes; no; yes; no; no; Complete Arcane; Supplementals (3.5); 
Spirit Needle; Transmutation; yes; yes; no; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Spirit Self; Necromancy; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Spirit Self; Necromancy; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Spirit Steed; Necromancy; yes; no; no; no; yes; no; Eberron Campaign Setting; Eberron (3.5); 
Spirit Walk; Necromancy; yes; yes; no; yes; yes; no; Dragonlance Campaign Setting; Dragonlance (3.5); 
Spirit Worm; Necromancy; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Spirit Worm; Necromancy; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Spiritjaws; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Spiritual Advisor; Divination; yes; yes; no; no; no; no; Complete Champion; Supplementals (3.5); 
Spiritual Cavalry; Evocation; yes; yes; no; no; yes; no; Heroes of Battle; Supplementals (3.5); 
Spiritual Charger; Evocation; yes; yes; no; no; yes; no; Heroes of Battle; Supplementals (3.5); 
Spiritual Chariot; Conjuration; yes; yes; no; no; yes; no; Complete Divine; Supplementals (3.5); 
Spiritual Chariot; Conjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Spiritual Guardian; Evocation; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Spiritual Weapon; Evocation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Spiritwall; Necromancy; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Spiritwall; Necromancy; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Spiritwall; Necromancy; yes; yes; yes; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Spittle Spray; Transmutation; yes; yes; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Splinterbolt; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Spontaneous Search; Divination; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Spore Cloak; Conjuration; yes; yes; yes; no; no; no; Races of Faerûn; Forgotten Realms (3.0); 
Spore Field; Transmutation; yes; yes; no; no; yes; no; Complete Scoundrel; Supplementals (3.5); 
Spores of the Vrock; Conjuration; yes; yes; yes; no; yes; no; Book of Vile Darkness; Supplementals (3.0); 
Spread of Contentment; Enchantment; yes; yes; yes; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Spread of Savagery; Enchantment; yes; yes; yes; no; yes; no; Book of Vile Darkness; Supplementals (3.0); 
Spring Sheath; Transmutation; yes; yes; no; no; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Spurn the Supernatural; Abjuration; yes; yes; no; no; no; no; Tome of Magic; Supplementals (3.5); 
Spymaster's Coin; Divination; yes; yes; no; yes; no; no; Complete Scoundrel; Supplementals (3.5); 
Srinshee's Spell Shift; Abjuration; yes; yes; yes; no; no; no; Lost Empires of Faerûn; Forgotten Realms (3.5); 
Stabilize; Conjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Stalker in the Night; Shadow Hand; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Stalking Brand; Transmutation; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Stalking Brand; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Stalking Shadow; Setting Sun; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Stalking Spell; Illusion; no; no; no; no; no; no; Savage Species; Supplementals (3.0); 
Stalwart Pact; Evocation; yes; yes; no; no; yes; yes; Complete Divine; Supplementals (3.5); 
Stalwart Pact; Evocation; no; no; no; no; no; no; Races of Destiny; Supplementals (3.5); 
Stalwart Pact; Evocation; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Stance of Alacrity; Diamond Mind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Stance of Clarity; Diamond Mind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Stand; Conjuration; yes; yes; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Stand Firm; Transmutation; yes; yes; no; no; yes; no; The Forge of War; Eberron (3.5); 
Standing Wave; Transmutation; yes; yes; no; no; yes; no; Complete Divine; Supplementals (3.5); 
Standing Wave; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Standing Wave; Transmutation; yes; yes; no; no; yes; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Starmantle; Abjuration; yes; yes; yes; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Stars of Arvandor; Evocation; yes; yes; no; no; no; no; Champions of Valor; Forgotten Realms (3.5); 
Stars of Arvandor; Evocation; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Stars of Mystra; Evocation; yes; yes; no; no; no; no; Champions of Valor; Forgotten Realms (3.5); 
Stars of Selûne; Evocation; yes; yes; no; no; no; no; Champions of Valor; Forgotten Realms (3.5); 
Starvation; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Stasis Clone; Necromancy; no; no; no; no; no; no; Lords of Darkness; Forgotten Realms (3.0); 
Statue; Transmutation; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Status; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Status, Greater; Divination; yes; yes; no; no; yes; no; Eberron Campaign Setting; Eberron (3.5); 
Status, Greater; Divination; yes; yes; no; no; yes; no; Book of Exalted Deeds; Supplementals (3.5); 
Status, Greater; Divination; yes; yes; no; no; no; no; Heroes of Battle; Supplementals (3.5); 
Stay the Hand; Enchantment; yes; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Steal Life; Necromancy; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Steal Size; Transmutation; yes; yes; yes; no; no; no; Races of the Dragon; Supplementals (3.5); 
Steal Summoning; Conjuration; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Steam Breath; Evocation; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Steam Breath; Evocation; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Steed of the Seas; Transmutation; yes; yes; no; no; yes; no; Stormwrack; Supplementals (3.5); 
Steel Wind; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Steeldance; Transmutation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Steeldance; Evocation; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Steelsting; Evocation; yes; no; no; no; no; no; City of Splendors: Waterdeep; Forgotten Realms (3.5); 
Steelsting; Evocation; yes; no; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Steely Strike; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Step of the Dancing Moth; Shadow Hand; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Step of the Wind; Setting Sun; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Stick; Transmutation; yes; yes; yes; no; no; no; Underdark; Forgotten Realms (3.5); 
Stick; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Sticks and Stones; Necromancy; yes; yes; no; no; no; no; Shining South; Forgotten Realms (3.5); 
Sticky Fingers; Transmutation; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Sticky Floor; Conjuration; yes; yes; yes; no; no; no; Races of the Dragon; Supplementals (3.5); 
Sticky Saddle; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Stiffen; Necromancy; yes; yes; no; no; no; no; Exemplars of Evil; Supplementals (3.5); 
Stifle Spell; Abjuration; yes; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Sting Ray; Enchantment; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Stinking Cloud; Conjuration; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Stolen Breath; Necromancy; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Stone Body; Transmutation; yes; yes; yes; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Stone Body; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Stone Body; Abjuration; yes; yes; yes; no; no; no; Races of Faerûn; Forgotten Realms (3.0); 
Stone Body; Transmutation; yes; yes; yes; no; no; no; Savage Species; Supplementals (3.0); 
Stone Bones; Transmutation; yes; yes; no; yes; yes; no; Spell Compendium; Supplementals (3.5); 
Stone Bones; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Stone Bones; Transmutation; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Stone Bones; Transmutation; yes; yes; no; yes; no; no; Ghostwalk; Supplementals (3.0); 
Stone Construct; Transmutation; no; yes; yes; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Stone Dragon's Fury; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Stone Fist; Transmutation; yes; yes; no; no; yes; no; Races of Stone; Supplementals (3.5); 
Stone Metamorphosis; Transmutation; yes; yes; yes; no; yes; no; Underdark; Forgotten Realms (3.5); 
Stone Metamorphosis, Greater; Transmutation; no; no; no; no; no; no; Underdark; Forgotten Realms (3.5); 
Stone Shape; Transmutation; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Stone Shape, Greater; Transmutation; no; no; no; no; no; no; Underdark; Forgotten Realms (3.5); 
Stone Shape, Greater; Transmutation; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Stone Shards; Transmutation; yes; yes; no; no; no; no; Dragonlance Campaign Setting; Dragonlance (3.5); 
Stone Shatter; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Stone Shatter; Evocation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Stone Sphere; Evocation; yes; yes; yes; no; no; no; Underdark; Forgotten Realms (3.5); 
Stone Sphere; Evocation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Stone Spiders; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Stone Spiders; Transmutation; yes; yes; no; no; yes; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Stone Storm; Evocation; yes; yes; yes; no; no; no; Secrets of Sarlona; Eberron (3.5); 
Stone Tell; Divination; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Stone to Flesh; Transmutation; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Stone Trap; Transmutation; yes; yes; yes; no; yes; no; Shining South; Forgotten Realms (3.5); 
Stone Vise; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Stone Walk; Conjuration; yes; yes; yes; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Stone Walk; Transmutation; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Stone Walk; Transmutation; yes; yes; yes; no; no; no; Lords of Darkness; Forgotten Realms (3.0); 
Stonefire; Evocation; yes; yes; no; no; yes; no; Shining South; Forgotten Realms (3.5); 
Stonefoot Stance; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Stonehold; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Stonehold; Conjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Stoneskin; Abjuration; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Stony Grasp; Transmutation; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Stony Grasp; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Stop Heart; Necromancy; no; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Stored Lightning Bolt; Evocation; yes; yes; yes; no; no; no; Secrets of Sarlona; Eberron (3.5); 
Storm Mote; Evocation; yes; yes; yes; no; yes; no; Sandstorm; Supplementals (3.5); 
Storm of Elemental Fury; Conjuration; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Storm of Elemental Fury; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Storm of Fire and Ice; Evocation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Storm of Needles; Conjuration; yes; yes; yes; no; no; no; Complete Mage; Supplementals (3.5); 
Storm of Shards; Evocation; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Storm of Vengeance; Conjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Storm Shield; Abjuration; yes; yes; no; no; yes; no; Lost Empires of Faerûn; Forgotten Realms (3.5); 
Storm Touch; Evocation; yes; yes; no; no; no; no; Magic of Eberron; Eberron (3.5); 
Storm Tower; Abjuration; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Storm Tower; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Storm Tower; Abjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Storm Wall; Evocation; yes; yes; yes; no; no; no; Dragonlance Campaign Setting; Dragonlance (3.5); 
Stormrage; Transmutation; yes; yes; no; no; yes; no; Complete Divine; Supplementals (3.5); 
Stormrage; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Stormrage; Transmutation; yes; yes; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Stormrunner's Ward; Abjuration; yes; yes; yes; no; no; no; Stormwrack; Supplementals (3.5); 
Stormvoice; Evocation; yes; yes; no; no; yes; no; Champions of Valor; Forgotten Realms (3.5); 
Stormwalk; Conjuration; yes; yes; no; no; yes; no; Stormwrack; Supplementals (3.5); 
Strategic Charge; Abjuration; yes; no; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Strategic Charge; Abjuration; yes; no; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Streamers; Evocation; yes; yes; yes; no; no; no; Shining South; Forgotten Realms (3.5); 
Strength Draining Strike; Shadow Hand; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Strength of Stone; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Strength of Stone; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Strength of Stone; Transmutation; yes; yes; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Strength of the Beast; Transmutation; yes; no; no; yes; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Strength of the True Form; Transmutation; yes; no; no; no; no; no; Dragons of Eberron; Eberron (3.5); 
Stretch Weapon; Transmutation; yes; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Strike of Perfect Clarity; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Strike of Righteous Vitality; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Strike of the Broken Shield; Setting Sun; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Stun Ray; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Stunning Breath; Transmutation; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Stunning Breath; Transmutation; no; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Stunning Breath, Greater; Transmutation; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Stunning Breath, Greater; Transmutation; no; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Stunning Screech; Evocation; yes; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Stupor; Enchantment; no; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Subdue Aura; Abjuration; yes; yes; no; no; no; no; Complete Champion; Supplementals (3.5); 
Sublime Revelry; Abjuration; yes; yes; no; no; yes; no; Book of Exalted Deeds; Supplementals (3.5); 
Submerge Ship; Evocation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Substitute Domain; Transmutation; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Substitution; Abjuration; yes; yes; yes; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Subvert Planar Essence; Transmutation; yes; yes; yes; no; yes; no; Complete Divine; Supplementals (3.5); 
Subvert Planar Essence; Transmutation; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Sudden Aegis; Abjuration; yes; yes; no; no; no; no; The Forge of War; Eberron (3.5); 
Sudden Leap; Tiger Claw; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Sudden Stalagmite; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Suffer the Flesh; Transmutation; yes; yes; yes; no; no; no; Magic of Eberron; Eberron (3.5); 
