/ http://www.jrrvf.com/hisweloke/sindar/online/sindar/dict-sd-en.html

.Sindarin, Type, Definition

a; conj.; and
sarnas; n.; abst. of sarn, cairn, pile of stones
sautha; v.; to drain
saw; n.; juice
sedryn; n. (pl); plural of faithful one
seidia; v.; to set aside, appropriate to a special purpose or owner
sein; adj. (pl); new
selaib; n. (pl); plural of herb
seleb; n. (pl); plural of herb
sell; n.; f. 1. daughter ○ 2. girl, maid (child)
sellath; n.; coll. of sell, all the daughters
sen; adj.; dem. this thiw hin 
send; n.; (?) rest 
senn; n. (pl); (?) rest 
sennas; n.; abst. of send, guesthouse
sennui; adv.; (?) rather, (?) instead (used as an adverb?)
sereg; n.; blood
seregon; n.; "Blood of Stone", a plant of the kind called in English "stonecrop", with deep red flowers, that grew on Amon Rûdh
seron; n.; lover
si; adv.; now
sigil; n.; necklace Elu-naeth 
silevril; n.; Silmaril
silivren; adj.; (white) glittering
sin; adj. (pl); plural of dem. this thiw hin 
siniath; n.; coll. news, tidings
sinnarn; n.; novel tale
sint; inf. (pl); isto N. pa. t. istas N. (sint N.) v. to have knowledge
siria; inf.; sirio N. v. to flow
sirio; inf. (pl); sirio N. v. to flow
sirion; der. pl. of; sîr LotR
sirith; n.; flowing
soe; n. (pl); plural of juice
sog; inf.; sogo N. pa. t. sogant N. (sunc N.) v. to drink
sogannen; pp. of; sog-, drunk
sogant; inf. (pl); sogo N. pa. t. sogant N. (sunc N.) v. to drink
sogo; inf. (pl); sogo N. pa. t. sogant N. (sunc N.) v. to drink
solch; n.; root (especially as edible)
sui; conj.; as, like
suil; n.; greeting (ii)
suila; v.; to greet 
suilad; ger.; of suila-, greeting
suilanna; v.; to greet, to give greetings 
suilannad; ger.; of suilanna-, greeting, giving of greetings
suith; n.; draught
sunc; inf. (pl); sogo N. pa. t. sogant N. (sunc N.) v. to drink
sâdh; n.; sward, turf
sí; adv.; here
síla; v.; to shine white
sír; adv.; today
sîdh; n.; peace
sîn; adj. (pl); plural of new
sîr; n.; river
sôg; v.; pres. 3rd of sog-, (he) drinks
sûl; n.; goblet
sûth; n. (pl); draught
tachl; n. (pl); pin, brooch
tachol; n.; pin, brooch
tad; adj. (pl); num. card. two
tadeg; adj.; num. ord. second
tadol; adj.; num. quant. double
tadui; adj.; num. ord. second
taeg; n.; boundary, limit, boundary line
taen; n.; sign Tengyl 
taer; adj.; straight
taes; n.; nail
taetha; inf.; taetho N. v. to fasten, tie
taetho; inf. (pl); taetho N. v. to fasten, tie
taew; n.; holder, socket, hasp, clasp, staple
tafnen; adj.; closed, blocked, stopped 
tafr; n. (pl); woodpecker (bird)
tagol; n.; post, mark 
taid; adj.; second (in the sense of supporting, second in command)
tail; n. (pl); plural of foot 
taith; n.; mark
talad; n.; an incline, slope
talaf; n.; ground, floor
talagan; n.; harper
talagand; n. (pl); harper
talan; n.; wooden platform (in the trees of Lothlórien where the Galadhrim dwelt)
talath; n.; 1. flat surface, plane ○ 2. flat land, plain, (wide) valley Dirnen 
talf; n.; flat field, flat land LotR/Map
talraph; n.; stirrup 
talt; adj.; slipping, falling, insecure
talu; adj.; flat
tamma; inf.; tammo N. v. to knock
tammo; inf. (pl); tammo N. v. to knock
tanc; adj.; firm
tang; n.; bowstring
tangada; inf.; tangado N. v. to make firm, confirm, establish
tangado; inf. (pl); tangado N. v. to make firm, confirm, establish
tar; adj. (pl); tough, stiff
tara; adj.; tough, stiff
tarag; n.; 1. horn ○ 2. by ext., steep mountain peak
tarch; adj.; stiff, tough 
tarias; n.; abst. stiffness, toughness, difficulty
tarlanc; adj.; stiff-necked, obstinate
tars; n. (pl); labour, task
tas; n. (pl); index finger
tass; n.; labour, task
tathar; n.; willow-tree
tathor; n. (pl); willow-tree
tathren; adj.; of willow, having willows
taur; adj.; mighty, vast, overwhelming, huge, awful, high, sublime
tauron; n.; forester
taus; n.; thatch
tavor; n.; woodpecker (bird)
tavr; n. (pl); woodpecker (bird)
taw; adj.; of wool, woollen
tawar; n.; 1. wood (as a material) ○ 2. by ext., great wood, forest 
tawaren; adj.; wooden
tawarwaith; n.; class pl. of tawar, Silvan elves
tegi; inf. (pl); tegi N. v. to lead, bring
tegil; n.; pen
tegilbor; n.; one skilled in calligraphy, a calligrapher
tegl; n. (pl); pen
tegol; n.; pen
teil; n. (pl); plural of foot 
teilia; inf. (pl); telio N. (teilio N.) v. to play
teilien; n. (pl); sport, play
teilio; inf. (pl); telio N. (teilio N.) v. to play
teith; n. (pl); mark
teitha; inf.; teitho N. pa. t. teithant N. v. to write
teithant; inf. (pl); teitho N. pa. t. teithant N. v. to write
teitho; inf. (pl); teitho N. pa. t. teithant N. v. to write
telaif; n. (pl); plural of ground, floor
telain; n. (pl); plural of wooden platform (in the trees of Lothlórien where the Galadhrim dwelt)
telch; n.; stem
tele; n.; end, rear, hindmost part
telei; n. (pl); plural of end, rear, hindmost part
teleif; n. (pl); plural of ground, floor
teler; n.; an Elf, one of the Teleri
telerrim; n.; class pl. of teler, the Teleri, a tribe of Elves
teli; inf. (pl); teli N. v. to come
telia; inf.; telio N. (teilio N.) v. to play
telien; n.; sport, play
telio; inf. (pl); telio N. (teilio N.) v. to play
telir; n. (pl); plural of an Elf, one of the Teleri
tellein; n. (pl); sole of foot
tellen; n.; sole of foot
tellœin; n. (pl); sole of foot
telu; n.; dome, high roof
ten; pron.; (?) it (as object) den 25-6
terein; n. (pl); plural of m. brother
ters; n. (pl); (fine pierced) hole
teryn; n. (pl); plural of m. brother
tess; n.; (fine pierced) hole
tewerin; adj. (pl); plural of wooden
thafn; n.; post, wooden pillar
thala; adj.; stalwart, steady, firm
thalion; n.; hero, dauntless man (especially as surname of Húrin Thalion)
tham; n.; hall
thamas; n.; abst. of tham, great hall
thamb; n. (pl); hall
thambas; n. (pl); abst. of tham, great hall
thanc; adj.; cleft, split, forked 
thand; adj.; firm, true, abiding
thang; n.; compulsion, duress, need, oppression
thangail; n.; shield-fence, a battle formation of the Dúnedain
thar; pref.; across, athwart, over, beyond
tharas; n.; hassock, footstool
tharbad; n.; cross-way
tharn; adj.; sapless, stiff, rigid, withered
thaun; n. (pl); pine-tree
thaur; adj.; abominable, abhorrent
thavron; n.; carpenter, wright, builder
thaw; adj.; corrupt, rotten
thel; v.; to intend, mean, purpose, resolve, will
thela; n.; point (of spear)
thelei; n. (pl); plural of f. sister
thelion; n.; one who remains firm in his purpose 
thelyn; n. (pl); plural of hero, dauntless man (especially as surname of Húrin Thalion)
then; adj.; short
thent; adj.; short
therein; n. (pl); plural of eagle
theryn; n. (pl); plural of eagle
thia; inf.; thio N. v. to appear, seem
thilia; inf.; thilio N. v. to glisten
thilio; inf. (pl); thilio N. v. to glisten
thind; adj.; grey, pale
thinn; adj. (pl); grey, pale
thinna; v.; to fade, to grow towards evening
thinnas; n.; abst. of thent, lit. "shortness" (name of a mark indicating short quality of vowel)
thio; inf. (pl); thio N. v. to appear, seem
thiw; nasal mut. pl. of; têw
thling; n. (pl); spider, spider's web, cobweb
thlingril; n. (pl); spider
thliw; n. (pl); sickness
thloss; n. (pl); whisper or rustling sound
thlê; n. (pl); fine thread, spider filament
thond; n.; root
thoniel; mut. of; toniel 
thonion; der. pl. of; thôn 
thora; inf.; thoro N. v. to fence
thoren; pp. of; thora-, fenced
thoro; inf. (pl); thoro N. v. to fence
thoron; n.; eagle
thoronath; n.; coll. of thoron, eagles
thost; n.; smell
thosta; inf.; thosto N. v. to stink
thosto; inf. (pl); thosto N. v. to stink
thuia; inf.; thuio N. v. to breathe
thuio; inf. (pl); thuio N. v. to breathe
thurin; adj.; secret, hidden
thâr; n.; stiff grass
thêl; n.; f. sister
thîn; n.; evening
thîr; n.; look, face, expression, countenance
thîw; nasal mut. pl. of; têw
thórod; n.; torrent
thôl; n.; helm
thôn; n.; pine-tree
thôr; adj.; swooping, leaping down
thû; n.; stench
thûl; n.; breath
ti; pron.; them gohenam di ai 30
tilch; n. (pl); plural of stem
tild; n. (pl); horn, point
till; n.; horn, point
tinc; n.; metal
tindu; n. (pl); 1. dusk, twilight, early night (without Moon) ○ 2. by ext., starry twilight
tinna; inf.; tinno N. v. to glint
tinno; inf. (pl); tinno N. v. to glint
tinnu; n.; 1. dusk, twilight, early night (without Moon) ○ 2. by ext., starry twilight
tint; n.; spark
tinu; n.; spark, small star
tinw; n. (pl); spark, small star
tir; inf.; tiri N. v. to watch, to gaze, look at
tiri; inf. (pl); tiri N. v. to watch, to gaze, look at
tiria; inf.; tirio N. pa. t. tiriant N. v. to watch, to gaze, look at
tiriant; inf. (pl); tirio N. pa. t. tiriant N. v. to watch, to gaze, look at
tiriel; part. of; tiria-, gazing
tirio; inf. (pl); tirio N. pa. t. tiriant N. v. to watch, to gaze, look at
tirith; n.; watch, guard (abstract noun), vigilance
tirn; n.; watcher 
tirnen; pp. of; tir-, guarded Dirnen 
tiro; v.; imp. of tir-, look!
tithen; adj.; little, tiny
tithin; adj. (pl); plural of little, tiny
tiwdi; n.; alphabet
toba; inf.; tobo N. v. to cover, roof over
tobas; n.; abst. of toba-, roofing, roof
tobo; inf. (pl); tobo N. v. to cover, roof over
tofn; adj.; lowlying, deep, low
tog; inf.; tegi N. v. to lead, bring
tol; inf.; teli N. v. to come
tolch; n. (pl); dim. 1. (?) "litte prominent one" ○ 2. middle finger (Elvish play-name used by and taught to children)
toleg; n.; dim. 1. (?) "litte prominent one" ○ 2. middle finger (Elvish play-name used by and taught to children)
tolhui; adj. (pl); num. ord. eighth
toll; inf. (pl); teli N. v. to come
tollui; adj.; num. ord. eighth
tolo; v.; imp. of tol-, come!
tolodh; adj. (pl); num. card. eight
tolog; adj.; stalwart, trusty
toloth; adj.; num. card. eight
tolothen; adj.; num. ord. eighth dolothen ⇒ tollui
toltha; inf.; toltho N. v. to fetch, summon, make come
toltho; inf. (pl); toltho N. v. to fetch, summon, make come
tolthui; adj. (pl); num. ord. eighth
tond; adj.; tall
tong; adj.; taut, tight (of strings), resonant
toniel; n.; f. kindler 
tonn; adj. (pl); tall
torech; n.; hole, excavation, lair
torog; n.; Troll
tortha; inf.; tortho N. v. to wield, control
tortho; inf. (pl); tortho N. v. to wield, control
toss; n.; bush, low-growing tree (as maple, hawthorn, blackthorn, holly, etc.)
trann; n.; shire, administrative district, division of a realm 
trannail; adj.; of the Shire Drannail 
trasta; v.; to harass, trouble
tre; pref.; through (but denoting completeness when prefixed to verbs, cf. English idioms like "talk something through")
trenar; inf.; treneri N. pa. t. trenor N. (trener N.) v. to recount, to tell to end
trenarn; n.; account, tale
trener; inf. (pl); treneri N. pa. t. trenor N. (trener N.) v. to recount, to tell to end
treneri; inf. (pl); treneri N. pa. t. trenor N. (trener N.) v. to recount, to tell to end
trenor; inf. (pl); treneri N. pa. t. trenor N. (trener N.) v. to recount, to tell to end
trevad; inf.; trevedi N. pa. t. trevant N. v. to traverse
trevant; inf. (pl); trevedi N. pa. t. trevant N. v. to traverse
trevedi; inf. (pl); trevedi N. pa. t. trevant N. v. to traverse
tri; pref. (pl); through (but denoting completeness when prefixed to verbs, cf. English idioms like "talk something through")
trî; prep.; through
trîw; adj.; fine, slender
tui; n. (pl); a sprout, bud
tuia; inf.; tuio N. v. 1. to sprout, spring ○ 2. to swell
tuilin; n. (pl); swallow (bird)
tuilind; n. (pl); swallow (bird)
tuilinn; n.; swallow (bird)
tuio; inf. (pl); tuio N. v. 1. to sprout, spring ○ 2. to swell
tuiw; n.; a sprout, bud
tulu; n.; support, prop
tulus; n.; poplar-tree
tum; n.; deep valley, under or among hills
tump; n.; hump
tund; n.; hill, mound
tunn; n. (pl); hill, mound
tyll; inf. (pl); plural of teli N. v. to come
tylys; n. (pl); plural of poplar-tree
tyrn; n.; pl. downs
tâd; adj.; num. card. two
tâl; n.; foot 
tê; n.; line, way
têw; n.; letter, written sign
tínen; adj.; silent
tíra; v.; to see 
tírad; ger.; of tíra-, to see, for the seing
tíriel; perf. of; tiria-, having gazed
tî; n.; line, row
tîn; adj.; silent, quiet
tîr; adj.; straight, right
tîw; n. (pl); plural of letter, written sign
tôg; v.; pres. 3rd of tog-, (he) leads, brings
tôl; v.; pres. 3rd of tol-, (he) comes
tôr; n.; m. brother
tû; n.; muscle, sinew, vigour, physical strength
tûg; adj.; thick, fat
tûr; n.; mastery, victory
uanui; adj.; monstrous, hideous
ubed; n.; denial
ui; pref.; ever uilos (see these words)
uial; n.; twilight
uidafnen; adj.; ever-closed
uidavnen; adj. (pl); ever-closed
uil; n.; seaweed
uilos; n.; and adj. 1. always white, ever white as snow ○ 2. as a noun, a small white everlasting flower also called simbelmynë or "evermind"
uin; prep.; of the
uir; n.; eternity
uireb; adj.; eternal
uluithiad; adj.; unquenchable, without quenching
ulun; n. (pl); monster, deformed and hideous creature
ulund; n. (pl); monster, deformed and hideous creature
ulunn; n.; monster, deformed and hideous creature
um; adj.; bad, evil
ungol; n.; spider
urug; n.; 1. Orc (rarely used) ○ 2. "bogey", anything that caused fear to the Elves, any dubious shape or shadow, or prowling creature
urui; n.; and adj. 1. hot ○ 2. as a noun, the month of august
vedui; soft mut. of; medui
veleg; soft mut. of; beleg Veleg 
venniath; soft mut. of; menniath 
vi; prep.; in
vín; soft mut. of; mín II
vîr; soft mut. of; mîr
ylf; n.; drinking-vessel
yneb; adj. (pl); num. card. twelve
yneg; adj. (pl); num. card. twelve
yrch; n. (pl); plural of Goblin, Orc
yrn; n. (pl); plural of (any large) tree
âr; n.; king (used of a lord or king of a specified region)
êg; n.; thorn
êl; n.; Arch., star (little used except in verses)
ínias; n.; abst. of în II, annals
îdh; n.; rest, repose
în; n.; year
îr; n.; sexual desire
ódhel; n.; Deep Elf or Gnome, one of the Wise Folk
ódhellim; n.; class pl. of ódhel, Deep Elves or Gnomes, the Wise Folk
ódhil; n. (pl); plural of Deep Elf or Gnome, one of the Wise Folk
ónen; pa. t.; 1st of anna-, I gave
ôl; n.; dream
ú; pref.; no, not (negative prefix or particle)
úan; n.; monster
úgarth; n.; bad deed, sin, trespass
úgerth; n. (pl); plural of bad deed, sin, trespass
úthaes; n.; inducement to do wrong, temptation
ûl; n.; odour
ûn; n.; creature
ûr; n.; wide
ýneg; adj.; num. card. twelve
œrydbin; n. (pl); plural of mountaineer, one living in the mountains
ŷr; n.; course
